ID_geo,Entidad_federativa,Tipo,Año,poblacion_en_situacion_de_pobreza,poblacion_en situacion_de_pobreza moderada,poblacion_en_situacion_de pobreza_extrema,poblacion_vulnerable_por_carencias_sociales,poblacion_vulnerable_por_ingresos,poblacion_no_pobre_y_no_vulnerable,poblacion_con_al_menos_una_carencia_social,poblacion_con_al_menos_tres_carencias_sociales,rezago_educativo,carencia_por_acceso_a_los_servicios_de_salud,carencia_por_acceso_a_la_seguridad_social,carencia_por_calidad_y espacios_de la_vivienda,carencia_por_acceso_a_los_servicios basicos_en_la_vivienda,carencia_por_acceso_a_la_alimentacion,poblacion_con_ingreso inferior_a_la_linea_de pobreza_extrema_por ingresos,poblacion_con_ingreso_inferior_a_la_linea_de_pobreza_por_ingresos,poblacion_total,pib_mn_2013,pib_mn_corr
MX-BCS,Baja California Sur,Porcentaje,2010,31,26.4,4.6,32.5,4.5,31.9,63.5,17.1,16.9,20.2,45.9,12.3,9.2,26,11.2,35.5,636.19,110656.4,100789.574
MX-BCS,Baja California Sur,Porcentaje,2012,30.1,26.4,3.7,30,7.9,32,60.1,13.4,15.7,15.1,43.5,10.9,6.8,21.9,13.1,38,668.64,117345.833,114898.751
MX-BCS,Baja California Sur,Porcentaje,2014,30.3,26.3,3.9,34.4,5.6,29.8,64.6,17.6,14.9,14.2,46.6,16.5,12.4,24.6,10.6,35.9,702.92,116027.018,119613.084
MX-BCS,Baja California Sur,Porcentaje,2016,22.1,20.5,1.6,37.8,6.5,33.6,60,12.9,13.4,12.5,40,13.1,12.8,19.2,6.1,28.6,737,133948.675,155809.224
MX-BCS,Baja California Sur,Porcentaje,2018,18.1,16.6,1.5,43.3,4.7,34,61.4,11.8,12.1,10.7,41.1,14.2,13.2,17.8,4.6,22.7,771.29,173047.36,232124.237
MX-CAM,Campeche,Porcentaje,2008,45.9,33.9,11.9,29.5,4.6,20,75.3,35.5,22.9,23.3,61.9,25.2,37.2,20.3,18.5,50.5,809.04,867231.044,740140.02
MX-CAM,Campeche,Porcentaje,2010,50.5,36.7,13.8,24.9,4.3,20.3,75.4,35.6,24.1,19.2,60,22.1,36.5,31.2,21.6,54.8,833.94,753968.591,620535.423
MX-CAM,Campeche,Porcentaje,2012,44.7,34.2,10.4,28.6,5.6,21.2,73.3,26.9,19.2,12.2,61,17.7,33,18.7,20.6,50.2,867.06,714787.065,779041.23
MX-CAM,Campeche,Porcentaje,2014,43.6,32.5,11.1,32.1,4,20.4,75.6,29.4,18.8,12.5,60.1,19.5,38.8,24.3,19.2,47.6,900.59,685981.27,696682.543
MX-CAM,Campeche,Porcentaje,2016,43.8,37.1,6.7,31.3,4.8,20.1,75.1,23.5,17.2,10.7,59,16.9,29.2,25.6,15.8,48.6,933.44,600612.272,412424.333
MX-CAM,Campeche,Porcentaje,2018,46.2,36.5,9.8,31.8,4.6,17.3,78.1,28.2,17.2,11.7,61.5,16.5,39,27.4,18.5,50.8,967.32,529584.304,550454.12
MX-COA,Coahuila,Porcentaje,2008,32.7,29.6,3.1,25.2,12.5,29.6,57.9,11.1,13.7,23.3,40.5,5.2,5.5,16.8,11.3,45.3,2693.77,498326.775,401229.645
MX-COA,Coahuila,Porcentaje,2010,27.8,24.9,2.9,25.6,12.9,33.7,53.4,10.3,12.2,17.6,34.3,4.4,6,20.8,11.5,40.7,2786.12,489951.776,433984.977
MX-COA,Coahuila,Porcentaje,2012,27.9,24.7,3.2,24.4,12.7,34.9,52.4,10.3,12.5,14.4,34.3,5.4,5.5,21.2,11.6,40.7,2874.75,549551.802,543684.552
MX-COA,Coahuila,Porcentaje,2014,30.2,26.4,3.7,24.2,11.1,34.5,54.4,9.9,12.5,15.6,34.2,5,5.6,22,11.8,41.3,2960.15,559217.153,579802.09
MX-COA,Coahuila,Porcentaje,2016,24.8,23.2,1.7,25,13,37.2,49.8,7.2,12.3,12.8,30.6,5.2,5.5,16.1,8.8,37.8,3043.06,572243.615,684776.144
MX-COA,Coahuila,Porcentaje,2018,22.5,21,1.4,27.4,11.3,38.9,49.8,7.1,11.7,13.2,30.4,4.4,3.9,18.3,6.5,33.7,3132.02,609051.269,826455.799
MX-COL,Colima,Porcentaje,2008,27.4,25.7,1.7,39.7,3.5,29.4,67.1,13.8,18.6,17,56,11.1,6.1,14.3,7.4,30.9,624.11,78953.717,65592.169
MX-COL,Colima,Porcentaje,2010,34.7,32.2,2.5,33.8,4.9,26.7,68.4,16.5,18.8,16.4,55.8,12.1,9.8,19.9,8.6,39.6,655.21,81992.178,72901.369
MX-COL,Colima,Porcentaje,2012,34.4,30.4,4,31.7,6.3,27.6,66.2,14.8,18.8,14.6,50.8,10,7.9,22.3,11.4,40.7,681.89,90540.289,87516.444
MX-COL,Colima,Porcentaje,2014,34.3,30.9,3.4,33.2,6.4,26.1,67.5,16.1,17.5,12.7,51.9,10.9,9.6,25.4,10.6,40.7,708.74,93703.258,96603.958
MX-COL,Colima,Porcentaje,2016,33.6,31,2.6,31.3,7,28.1,65,13,16.3,11.9,47.7,11.4,8.6,21.1,8,40.6,734.66,98576.211,110204.725
MX-COL,Colima,Porcentaje,2018,30.9,28.5,2.4,35.2,5.4,28.5,66.1,12.6,16.6,10.8,48.9,9.4,10.5,21.6,9.7,36.3,760.33,104474.901,132943.19
MX-CHP,Chiapas,Porcentaje,2008,77,38.3,38.7,15.9,1.5,5.6,92.9,61.9,38,51.1,85.4,38.4,53.2,26.2,48.2,78.5,4666.82,258289.89,219146.599
MX-CHP,Chiapas,Porcentaje,2010,78.5,40.2,38.3,13,2.4,6.1,91.5,57.2,35,35.4,82.4,33.3,60.7,30.3,50.9,80.9,4857.91,270989.331,240499.032
MX-CHP,Chiapas,Porcentaje,2012,74.7,42.5,32.2,17.2,1.7,6.4,91.9,49.8,33.5,24.9,83.3,29.1,56.8,24.7,46.7,76.4,5038.79,284733.625,281695.954
MX-CHP,Chiapas,Porcentaje,2014,76.2,44.4,31.8,15.3,2.5,6,91.5,48,30.7,20.7,82.8,26.9,57.4,27.5,48.5,78.7,5220.62,294029.165,300375.744
MX-CHP,Chiapas,Porcentaje,2016,77.1,49,28.1,13.8,2.7,6.4,90.9,40.6,29,15,81.1,24.5,52.3,19.4,49.9,79.8,5393.94,287034.269,318560.217
MX-CHP,Chiapas,Porcentaje,2018,76.4,46.7,29.7,15,2.5,6,91.5,43.3,29.2,17.6,83.6,23.6,57.1,22.3,50.7,78.9,5563.87,271621.449,332598.489
MX-CHH,Chihuahua,Porcentaje,2008,32.1,25.4,6.7,34.6,7.3,26,66.6,20.3,18.6,29.6,55.9,11.3,12.3,17.4,11.5,39.4,3397.99,440792.887,369944.074
MX-CHH,Chihuahua,Porcentaje,2010,38.8,32.2,6.6,22.8,13,25.4,61.6,13.4,17.5,18.5,48.4,6.4,7,17.7,16.6,51.8,3461.88,417796.42,382215.09
MX-CHH,Chihuahua,Porcentaje,2012,35.3,31.5,3.8,27.4,10.7,26.6,62.7,10.3,16.1,13.6,48.4,5.3,5.2,18.4,15.9,46,3531.6,459166.22,463972.509
MX-CHH,Chihuahua,Porcentaje,2014,34.4,28.9,5.4,25.8,12,27.8,60.2,11.6,17.3,14.6,43.4,7.9,7.9,18.7,17.9,46.4,3590.34,485693.517,510950.825
MX-CHH,Chihuahua,Porcentaje,2016,30.6,27.4,3.2,27.3,11.1,30.9,57.9,9.4,15.7,12.2,40.5,7.1,5.4,18.2,11.2,41.7,3649.42,534205.546,656275.66
MX-CHH,Chihuahua,Porcentaje,2018,26.3,23.7,2.6,32.1,10.2,31.4,58.4,9.1,15.1,11.3,42.1,7,5,17.7,9.7,36.5,3727.98,562599.228,759815.431
MX-CMX,Cuidad de México,Porcentaje,2008,27.6,25.5,2.1,36.1,5,31.3,63.7,14.6,10.6,36.3,52.9,6.3,4.1,15.6,5.3,32.6,8942.67,2450391.202,2052359.403
MX-CMX,Cuidad de México,Porcentaje,2010,28.5,26.4,2.2,34.4,5.4,31.7,62.9,13.4,9.5,32.5,52.4,7.6,3.9,15.5,6,34,8981.87,2446910.439,2229200.756
MX-CMX,Cuidad de México,Porcentaje,2012,28.9,26.4,2.5,32.4,6.6,32.1,61.3,9.2,9.2,23.4,52.5,6.4,3,13,6.9,35.5,9049.1,2633934.642,2563863.36
MX-CMX,Cuidad de México,Porcentaje,2014,28.4,26.7,1.7,28,8,35.7,56.3,6.8,8.8,19.9,46.3,5.4,1.7,11.7,8.2,36.4,9062.02,2748551.988,2798138.054
MX-CMX,Cuidad de México,Porcentaje,2016,27.6,25.8,1.8,28.9,6.8,36.7,56.5,6.8,8.4,19.6,47,5.9,2.1,11.5,7.5,34.4,9053.99,2957233.594,3163657.853
MX-CMX,Cuidad de México,Porcentaje,2018,30.6,28.8,1.7,28.4,7.8,33.3,58.9,7.4,8.1,20.1,48.3,5.1,2.9,13.9,7.8,38.3,9041.4,3128247.71,3609401.851
MX-DUR,Durango,Porcentaje,2008,48.4,37,11.5,24.6,8.2,18.8,73,27.5,21.6,37.2,59,11.8,17.6,22,20,56.7,1611.82,165722.989,133623.021
MX-DUR,Durango,Porcentaje,2010,51.6,41.1,10.5,21.1,8.8,18.6,72.6,23.7,19,27.5,58.7,11.3,18.5,20.3,23.4,60.3,1656.6,169268.084,146770.242
MX-DUR,Durango,Porcentaje,2012,50.1,42.6,7.5,21.8,11.1,17,71.8,17.1,16.1,17.8,57.9,9.4,13,21.4,25,61.2,1708.44,182943.056,180059.762
MX-DUR,Durango,Porcentaje,2014,43.5,38.2,5.3,24.3,10.5,21.8,67.8,13.2,15.5,16.5,51.3,5.8,13,19.9,20.7,53.9,1758.16,192968.629,199491.872
MX-DUR,Durango,Porcentaje,2016,36,33.2,2.8,29.9,9.4,24.7,65.9,10.3,14.4,14.1,49,7,8.1,18.6,12.8,45.4,1801.96,200660.962,233458.628
MX-DUR,Durango,Porcentaje,2018,37.3,35.1,2.2,27.1,10.3,25.3,64.4,8.5,13.6,13.1,48.1,4.8,5.7,18.8,14.4,47.6,1836.46,202546.99,260477.668
MX-GUA,Guanajuato,Porcentaje,2008,44.1,36.2,7.9,36.2,4.6,15.1,80.3,30.6,25.8,36.2,66.7,13.2,16.2,27.1,13,48.7,5331.1,503024.423,419537.053
MX-GUA,Guanajuato,Porcentaje,2010,48.5,40.1,8.4,28.9,5.7,16.9,77.4,24.7,23.6,25.3,65.7,9.6,18,23.7,16.5,54.2,5542.93,517168.681,459867.979
MX-GUA,Guanajuato,Porcentaje,2012,44.5,37.6,6.9,32.6,4.9,18.1,77.1,22.2,23.9,19,62.1,9.8,15.3,28.5,16.9,49.3,5703.99,570921.987,565796.766
MX-GUA,Guanajuato,Porcentaje,2014,46.6,41,5.5,27.7,8.6,17.2,74.2,17.7,21,15.4,57.9,9.8,14.9,22.9,17.9,55.1,5857.98,620084.804,649953.073
MX-GUA,Guanajuato,Porcentaje,2016,42.4,38,4.4,30,8.2,19.5,72.3,13.9,20.1,13.4,54.5,7.7,13.5,19.8,15.6,50.6,5997.49,673328.294,783268.338
MX-GUA,Guanajuato,Porcentaje,2018,43.4,39.1,4.2,29.4,7.5,19.7,72.8,14.1,19,13.7,57.1,9.1,11.9,20.7,15.9,50.9,6117.21,712902.447,961215.854
MX-GRO,Guerrero,Porcentaje,2008,68.4,36,32.4,22.8,2,6.8,91.3,62.6,28.5,55.9,81.2,44.7,54.6,34,38.9,70.4,3336.89,208284.821,167978.877
MX-GRO,Guerrero,Porcentaje,2010,67.6,35.7,31.8,23,2,7.5,90.5,60.7,28.4,38.9,78.5,40.7,56.6,42.7,38.8,69.5,3429.88,211890.535,186370.38
MX-GRO,Guerrero,Porcentaje,2012,69.7,38,31.7,21.7,2.3,6.4,91.4,53.8,26.8,25.4,78.5,33.4,59,39.4,45.1,71.9,3495.92,218118.481,212366.441
MX-GRO,Guerrero,Porcentaje,2014,65.2,40.8,24.5,26.2,2.6,6,91.4,51.8,26.8,19.2,78.1,32.9,58,38.5,35.6,67.9,3551.77,227659.005,234183.853
MX-GRO,Guerrero,Porcentaje,2016,64.4,41.4,23,23.8,3.2,8.6,88.2,41.7,25.2,13.3,73.9,31.7,50.2,27.8,35.2,67.6,3597.31,234185.03,265235.738
MX-GRO,Guerrero,Porcentaje,2018,66.5,39.7,26.8,23.2,3,7.3,89.7,46.6,23.7,13.8,75.6,28.8,58.6,35.6,38.6,69.5,3629.73,240983.724,303673.224
MX-HID,Hidalgo,Porcentaje,2008,55.2,39.8,15.3,30.5,3.4,10.9,85.7,39.5,23.7,47.4,77.2,21.3,30.1,23.9,22.7,58.6,2574.51,208800.335,175038.767
MX-HID,Hidalgo,Porcentaje,2010,54.7,41.2,13.5,27.5,4.2,13.7,82.1,34.7,23.4,29.8,71.8,13.6,31.7,29,23.8,58.8,2688.91,206303.584,184470.154
MX-HID,Hidalgo,Porcentaje,2012,52.8,42.8,10,30.7,3,13.5,83.5,25.9,20.6,18.7,71.3,12.8,28.3,25,23.8,55.8,2775.1,222797.005,231618.44
MX-HID,Hidalgo,Porcentaje,2014,54.3,42,12.3,25.8,5.1,14.8,80.1,26.8,19.1,17.3,68.9,9.2,27,31.7,24.7,59.4,2859.24,243064.784,256398.844
MX-HID,Hidalgo,Porcentaje,2016,50.6,42.6,8,31.9,4.7,12.8,82.5,23.3,18.5,14.4,72.1,11.2,28,24.5,18.2,55.3,2938.76,268833.622,300101.36
MX-HID,Hidalgo,Porcentaje,2018,43.8,37.8,6.1,38.9,3.8,13.5,82.7,21.2,17.5,14.4,70.8,9.8,25.6,22.7,14.7,47.6,3014.26,277326.475,383074.328
MX-JAL,Jalisco,Porcentaje,2008,36.7,32.3,4.4,35.9,5.3,22.1,72.6,21.2,21.6,33.9,58,9.8,10.4,17.9,9.6,42,7235.9,918573.456,750814.023
MX-JAL,Jalisco,Porcentaje,2010,37,31.8,5.3,33.7,6.2,23,70.7,20.2,20.6,31.9,55.4,6.7,12.8,22,14.7,43.3,7461.86,925371.837,821289.839
MX-JAL,Jalisco,Porcentaje,2012,39.8,34,5.8,28.3,8.1,23.8,68.1,17,18.4,23.7,53.5,9.1,9.2,20.6,16.3,47.9,7672.91,995285.999,970346.145
MX-JAL,Jalisco,Porcentaje,2014,35.4,32.1,3.2,29.6,7.9,27.1,65,12.3,17.7,19.1,49.6,6.6,7,16.5,11.2,43.3,7870.82,1067256.762,1107264.088
MX-JAL,Jalisco,Porcentaje,2016,31.8,30,1.8,32.6,7.8,27.8,64.4,9.5,16.3,17.6,49.1,6.1,4.9,15.4,7.7,39.6,8055.96,1149129.548,1340583.331
MX-JAL,Jalisco,Porcentaje,2018,28.4,25.5,3,36.5,7.7,27.4,64.9,11.5,17,19.4,49.8,7.1,8.1,15.1,8.3,36.1,8238.99,1207897.462,1568752.029
MX-MEX,Mexico,Porcentaje,2008,43.6,36.6,6.9,35.6,4.3,16.5,79.1,29.4,18.7,42.6,68.3,14.4,17.3,21.2,11.2,47.9,14918.91,1198144.35,981146.431
MX-MEX,Mexico,Porcentaje,2010,42.9,34.3,8.6,32.2,5.6,19.3,75,26.6,18.5,30.7,59,12.9,15.9,31.6,14.5,48.5,15377.96,1226813.687,1085724.153
MX-MEX,Mexico,Porcentaje,2012,45.3,39.5,5.8,29.5,7.8,17.4,74.8,17.8,15.4,25.3,64.8,10.2,11.5,17.7,15.9,53.1,15820.4,1339994.611,1300309.612
MX-MEX,Mexico,Porcentaje,2014,49.6,42.4,7.2,23.7,9.3,17.4,73.3,17.1,15.3,19.7,60.6,10.3,12.4,21.3,20.1,58.9,16248.08,1402291.945,1451590.566
MX-MEX,Mexico,Porcentaje,2016,47.9,41.7,6.1,21.3,9.6,21.2,69.2,15.1,13.7,15.5,55.5,12.6,11.7,20.8,16.8,57.4,16658.5,1485467.443,1696120.275
MX-MEX,Mexico,Porcentaje,2018,42.7,37.8,4.9,28.1,8.7,20.4,70.8,15.2,12.9,19.8,59.2,9.6,10.3,19.8,13.8,51.4,17056.67,1605830.823,2008057.047
MX-MIC,Michoacán,Porcentaje,2008,55.5,40.1,15.4,31.4,2.5,10.6,86.9,47.1,31.9,55.6,77.4,22.5,26.9,31.8,22.2,58,4265.04,334657.914,270330.443
MX-MIC,Michoacán,Porcentaje,2010,54.7,41.2,13.5,28.6,4.3,12.3,83.4,40.3,30.6,38.2,72.2,22.4,27.2,28.8,21.6,59.1,4397.95,329767.26,290183.885
MX-MIC,Michoacán,Porcentaje,2012,54.4,39.9,14.4,30.7,3.5,11.5,85,36.6,26.1,28.6,71.6,21.1,30.4,32.2,24.2,57.9,4505.4,352030.387,348282.352
MX-MIC,Michoacán,Porcentaje,2014,59.2,45.2,14,25,4.1,11.7,84.2,35.1,27.6,26.2,71.3,15.4,26.6,34.7,24.4,63.3,4601.24,379655.442,391994.837
MX-MIC,Michoacán,Porcentaje,2016,55.3,45.9,9.4,27.8,4.7,12.1,83.2,28.5,27.4,22.8,68.9,14.8,24.5,25.9,21,60.1,4684.83,402111.981,456455.946
MX-MIC,Michoacán,Porcentaje,2018,46,40,6.1,34.8,4.9,14.3,80.9,22.6,24.2,21.2,69.5,12.7,17.7,21.1,15.6,50.9,4757.48,424377.529,547934.961
MX-MOR,Morelos,Porcentaje,2008,48.8,40.1,8.7,34.1,3.1,13.9,83,33.7,21.6,38.4,72.3,15.8,22.8,25,17.5,52,1734.47,169672.507,140312.172
MX-MOR,Morelos,Porcentaje,2010,43.2,36.3,6.9,33.6,5.8,17.3,76.9,26.9,19.3,29.9,64.6,15.7,20.6,22,13.9,49.1,1797.09,174984.467,156265.662
MX-MOR,Morelos,Porcentaje,2012,45.5,39.1,6.3,32,4.6,17.9,77.5,25.8,19.2,22.3,64.4,14.8,18.6,30.7,15,50.1,1852.26,175717.837,171825.31
MX-MOR,Morelos,Porcentaje,2014,52.3,44.4,7.9,25.7,6.1,15.8,78,24,16.6,16.6,66.2,13.4,24.6,26.9,20.5,58.4,1905.27,185662.448,189051.143
MX-MOR,Morelos,Porcentaje,2016,49.5,43.6,5.9,24.4,7.9,18.1,73.9,17.3,16.4,15,62.1,10.9,17,19.5,16.4,57.5,1954.72,194412.078,219509.801
MX-MOR,Morelos,Porcentaje,2018,50.8,43.4,7.4,29.4,5.7,14,80.2,20.4,16.9,16.8,66.5,11.3,19.9,24.6,19.6,56.6,2000.53,201363.236,250283.517
MX-NAY,Nayarit,Porcentaje,2008,41.7,35.5,6.2,34.5,4.4,19.4,76.2,23.2,21.3,30.3,66.2,12.4,14.9,18.2,14.4,46.1,1045.33,98292.89,81399.737
MX-NAY,Nayarit,Porcentaje,2010,41.4,33,8.3,33.4,4.3,20.9,74.8,21.9,20.2,22.8,61.7,12.8,16.4,23.6,17.8,45.7,1094.43,97786.134,88014.112
MX-NAY,Nayarit,Porcentaje,2012,47.6,35.7,11.9,28.2,5.6,18.6,75.8,22.2,19.3,18.3,62.6,11.9,19.6,28.8,23.4,53.2,1135.53,100800.218,99032.581
MX-NAY,Nayarit,Porcentaje,2014,40.5,32,8.5,29.4,6.5,23.5,69.9,17.9,17.4,16.3,54.4,10.1,15.3,24.1,18.8,47,1176.13,108986.732,112501.791
MX-NAY,Nayarit,Porcentaje,2016,37.5,29.6,7.9,31.4,6,25.1,69,17.2,16.8,15,55.8,9.7,18.2,19.9,16.4,43.5,1214.63,119473.243,136301.611
MX-NAY,Nayarit,Porcentaje,2018,34.8,28.9,5.9,35.9,4.9,24.4,70.7,16.1,17,13.7,56.1,11.9,17.2,18.9,13.5,39.7,1252.36,120495.124,155275.712
MX-NLE,Nuevo León,Porcentaje,2008,21.4,18.8,2.6,36.5,7.2,34.9,57.9,12.2,15,24.8,44.3,8.3,8.5,10.8,6.1,28.6,4538.95,1020366.768,873801.707
MX-NLE,Nuevo León,Porcentaje,2010,21,19.2,1.8,31.6,8.2,39.1,52.6,9.4,13.1,18.6,37.2,6.8,3.2,15.7,6,29.2,4712.65,1025184.258,943374.112
MX-NLE,Nuevo León,Porcentaje,2012,23.2,20.8,2.4,29.1,8.4,39.2,52.3,9.3,12.7,15.5,37,7,3.3,17.6,8.8,31.7,4909.32,1113817.766,1108967.174
MX-NLE,Nuevo León,Porcentaje,2014,20.4,19,1.3,28,9.1,42.5,48.4,6.7,10.8,13.7,33.4,4.6,4.3,14.2,6.4,29.5,5108.82,1161168.669,1207990.997
MX-NLE,Nuevo León,Porcentaje,2016,14.2,13.6,0.6,34.6,5.3,45.9,48.8,6.7,10.7,13.3,33.6,5,2.7,14.4,3.1,19.6,5294.2,1257648.421,1439538.536
MX-NLE,Nuevo León,Porcentaje,2018,14.5,14.1,0.5,34.4,6.6,44.5,49,4.4,10.1,13,34.6,3.1,2.4,12.2,3.1,21.1,5454.85,1353874.513,1745125.14
MX-OAX,Oaxaca,Porcentaje,2008,61.8,33.5,28.3,26.8,1.4,10,88.6,60.5,30.6,54.8,80.4,38.2,57.3,28.6,32.9,63.2,3747.43,226633.787,192561.534
MX-OAX,Oaxaca,Porcentaje,2010,67,37.7,29.2,22.2,1.3,9.5,89.2,54.5,30,38.5,79.4,33.9,58,26.4,36.2,68.3,3846.56,228089.144,208793.741
MX-OAX,Oaxaca,Porcentaje,2012,61.9,38.6,23.3,26.1,1.7,10.3,88,45.7,27.7,20.9,75.7,24.6,55.5,31.7,34.4,63.6,3924.32,239680.171,248833.702
MX-OAX,Oaxaca,Porcentaje,2014,66.8,38.4,28.3,23.3,2.1,7.9,90,49,27.2,19.9,77.9,24.5,60.5,36.1,42.1,68.8,3990.08,250239.106,265613.706
MX-OAX,Oaxaca,Porcentaje,2016,70.4,43.5,26.9,19.9,2.3,7.4,90.3,47.5,27.3,15.9,77.9,26.3,62,31.4,40.2,72.7,4046.49,256580.339,284220.424
MX-OAX,Oaxaca,Porcentaje,2018,66.4,43.1,23.3,22.5,2.6,8.5,88.9,44.8,27.1,16.3,76.2,25.1,58.3,27.9,37.4,69,4097,260440.891,353487.535
MX-PUE,Puebla,Porcentaje,2008,64.6,45.6,19,22.6,4,8.8,87.2,49.1,25.7,56,78,22.6,38.8,27.1,26.9,68.6,5725.49,468969.471,385126.957
MX-PUE,Puebla,Porcentaje,2010,61.5,44.5,17,21.6,5.6,11.3,83.1,40.7,25.3,40.4,72.3,19.6,37.3,27.6,27.7,67.1,5869.07,469967.84,416421.454
MX-PUE,Puebla,Porcentaje,2012,64.5,46.9,17.6,22,4.2,9.4,86.4,38.9,24.1,29.6,77.1,19.4,34.8,30.1,32.9,68.7,6037.92,524226.058,515088.623
MX-PUE,Puebla,Porcentaje,2014,64.5,48.4,16.2,19.8,5.1,10.5,84.4,31.5,22.9,21.2,75.2,18.9,30.6,23.9,31.9,69.7,6198.76,526200.669,540792.718
MX-PUE,Puebla,Porcentaje,2016,59.4,50.5,9,21.5,6.2,12.9,80.9,23.1,19.9,17.4,69.2,14.5,25.7,20.1,23.1,65.6,6345.95,555309.088,628165.6
MX-PUE,Puebla,Porcentaje,2018,58.9,50.3,8.6,23.2,6.1,11.7,82.1,23.7,19.4,20.8,72.1,11.7,26.5,20.8,22.3,65,6478.82,603702.659,743755.794
MX-QUE,Querétaro,Porcentaje,2008,35.2,29.8,5.5,35,5.1,24.7,70.2,21,20.4,26.8,57.7,11.9,14.2,17.9,11,40.3,1754.61,278348.405,228284.803
MX-QUE,Querétaro,Porcentaje,2010,41.4,34,7.4,31.7,5,21.8,73.2,20.2,19.5,22.1,60.6,9.9,17.6,21.3,16,46.4,1842.36,287403.169,256123.884
MX-QUE,Querétaro,Porcentaje,2012,36.9,31.8,5.2,32.6,6.4,24,69.6,16.9,17.5,15.5,56.7,10.9,14.9,19.8,14.7,43.3,1930.89,318294.372,311704.961
MX-QUE,Querétaro,Porcentaje,2014,34.2,30.3,3.9,33.1,7.8,24.9,67.3,14.2,16.4,15.8,54.3,8.9,14.8,15.8,12.3,42,2023.82,342666.454,348716.588
MX-QUE,Querétaro,Porcentaje,2016,31.1,28.2,2.9,32,8.9,27.9,63.1,11.5,14.2,13.2,48.4,9.7,12.7,13.4,10,40.1,2113.73,377947.864,432120.25
MX-QUE,Querétaro,Porcentaje,2018,27.6,25.6,2,38,6.3,28.1,65.6,11.1,14.8,11.8,52.7,8.5,12.7,13.9,7.7,33.9,2197.94,406635.649,517500.974
